path,class,name,total_lines,empty_lines,comment_lines,max_depth
BasicDemo/Unit1.pas,TForm1,HidCtlDeviceChange,2,0,0,0
BasicDemo/Unit1.pas,TForm1,HidCtlEnumerate,4,0,0,0
CollectionDemo/Unit1.pas,TForm1,HidCtlDeviceChange,3,0,0,0
CollectionDemo/Unit1.pas,TForm1,EnumerateNodes,115,0,1,2
CollectionDemo/Unit1.pas,TForm1,HidCtlEnumerate,7,0,0,0
ReadWriteDemo/Unit1.pas,TForm1,HidCtlDeviceChange,21,0,0,3
ReadWriteDemo/Unit1.pas,TForm1,HidCtlEnumerate,12,0,0,1
ReadWriteDemo/Unit1.pas,TForm1,FormActivate,18,0,0,1
ReadWriteDemo/Unit1.pas,TForm1,FormDestroy,6,0,0,1
ReadWriteDemo/Unit1.pas,TForm1,InfoButtonClick,7,0,0,1
ReadWriteDemo/Unit1.pas,TForm1,DoRead,35,0,0,2
ReadWriteDemo/Unit1.pas,TForm1,DoWrite,35,1,0,2
ReadWriteDemo/Unit1.pas,TForm1,ReadButtonClick,1,0,0,0
ReadWriteDemo/Unit1.pas,TForm1,WriteButtonClick,1,0,0,0
ReadWriteDemo/Unit1.pas,TForm1,ListBox1Click,12,0,0,1
ReadWriteDemo/Unit2.pas,TInfoForm,FormCreate,17,0,0,0
ThreadDemo/MouseReader.pas,TForm1,HidCtlDeviceChange,38,0,7,2
ThreadDemo/MouseReader.pas,TMouseThread,HandleMouseData,6,0,2,0
ThreadDemo/MouseReader.pas,TMouseThread,Execute,18,0,5,1
ThreadDemo/MouseReader.pas,TMouseThread,Execute/Dummy,0,0,0,0
